Hugo Symbol	ensembl	oncokb	mskcc	mane
MYOD1	ENST00000250003	ENST00000250003	ENST00000250003	ENST00000250003
NAB2	ENST00000300131	ENST00000300131		ENST00000300131
NADK	ENST00000341426	ENST00000341426	ENST00000378625	ENST00000341426
NBN	ENST00000265433	ENST00000265433	ENST00000265433	ENST00000265433
NCOA3	ENST00000371998	ENST00000371998	ENST00000371998	ENST00000371998
NCOA4	ENST00000581486	ENST00000581486		ENST00000581486
NCOR1	ENST00000268712	ENST00000268712	ENST00000268712	ENST00000268712
NCOR2	ENST00000405201	ENST00000405201		
NCSTN	ENST00000294785	ENST00000294785		ENST00000294785
NEGR1	ENST00000357731	ENST00000357731	ENST00000357731	ENST00000357731
NF1	ENST00000358273	ENST00000356175	ENST00000356175	ENST00000358273
NF2	ENST00000338641	ENST00000338641	ENST00000338641	ENST00000338641
NFATC2	ENST00000371564	ENST00000396009		ENST00000371564
NFE2	ENST00000435572	ENST00000312156		ENST00000435572
NFE2L2	ENST00000397062	ENST00000397062	ENST00000397062	ENST00000397062
NFKBIA	ENST00000216797	ENST00000216797	ENST00000216797	ENST00000216797
NHERF1	ENST00000262613	ENST00000262613		
NKX2-1	ENST00000354822	ENST00000354822	ENST00000354822	ENST00000354822
NKX3-1	ENST00000380871	ENST00000380871	ENST00000380871	ENST00000380871
NOTCH1	ENST00000651671	ENST00000651671	ENST00000651671	ENST00000651671
NOTCH2	ENST00000256646	ENST00000256646	ENST00000256646	ENST00000256646
NOTCH3	ENST00000263388	ENST00000263388	ENST00000263388	ENST00000263388
NOTCH4	ENST00000375023	ENST00000375023	ENST00000375023	ENST00000375023
NPM1	ENST00000296930	ENST00000296930	ENST00000296930	ENST00000296930
NQO1	ENST00000320623	ENST00000320623		ENST00000320623
NR4A3	ENST00000395097	ENST00000395097		ENST00000395097
NRAS	ENST00000369535	ENST00000369535	ENST00000369535	ENST00000369535
NRG1	ENST00000405005	ENST00000405005		
NSD1	ENST00000439151	ENST00000439151	ENST00000439151	ENST00000439151
NSD2	ENST00000508803	ENST00000382891	ENST00000508803	ENST00000508803
NSD3	ENST00000317025	ENST00000317025	ENST00000317025	ENST00000317025
NT5C2	ENST00000404739	ENST00000343289		ENST00000404739
NTHL1	ENST00000651570	ENST00000219066	ENST00000651570	ENST00000651570
NTRK1	ENST00000524377	ENST00000524377	ENST00000524377	ENST00000524377
NTRK2	ENST00000277120	ENST00000277120	ENST00000376214	ENST00000277120
NTRK3	ENST00000629765	ENST00000360948	ENST00000360948	
NUF2	ENST00000271452	ENST00000271452	ENST00000367900	ENST00000271452
NUP214	ENST00000359428	ENST00000359428		ENST00000359428
NUP93	ENST00000308159	ENST00000308159	ENST00000308159	ENST00000308159
NUP98	ENST00000324932	ENST00000355260		ENST00000324932
NUTM1	ENST00000537011	ENST00000333756		ENST00000537011
ONECUT2	ENST00000491143	ENST00000491143		ENST00000491143
Other Biomarkers				
P2RY8	ENST00000381297	ENST00000381297		ENST00000381297
PAK1	ENST00000356341	ENST00000356341	ENST00000356341	ENST00000356341
PAK5	ENST00000353224	ENST00000353224	ENST00000353224	ENST00000353224
PALB2	ENST00000261584	ENST00000261584	ENST00000261584	ENST00000261584
PARP1	ENST00000366794	ENST00000366794	ENST00000366794	ENST00000366794
PAX3	ENST00000392070	ENST00000350526		ENST00000392070
PAX5	ENST00000358127	ENST00000358127	ENST00000358127	ENST00000358127
PAX7	ENST00000420770	ENST00000420770		ENST00000420770
PAX8	ENST00000429538	ENST00000348715		ENST00000429538
PBRM1	ENST00000707071	ENST00000394830	ENST00000394830	
PCBP1	ENST00000303577	ENST00000303577		ENST00000303577
PDCD1	ENST00000334409	ENST00000334409	ENST00000334409	ENST00000334409
PDCD1LG2	ENST00000397747	ENST00000397747	ENST00000397747	ENST00000397747
PDGFB	ENST00000331163	ENST00000331163		ENST00000331163
PDGFRA	ENST00000257290	ENST00000257290	ENST00000257290	ENST00000257290
PDGFRB	ENST00000261799	ENST00000261799	ENST00000261799	ENST00000261799
PDK1	ENST00000282077	ENST00000282077		ENST00000282077
PDPK1	ENST00000342085	ENST00000342085	ENST00000342085	ENST00000342085
PDS5B	ENST00000315596	ENST00000315596		ENST00000315596
PGBD5	ENST00000391860	ENST00000525115		ENST00000391860
PGR	ENST00000325455	ENST00000325455	ENST00000325455	ENST00000325455
PHF19	ENST00000373896	ENST00000373896		ENST00000373896
PHF6	ENST00000370803	ENST00000332070	ENST00000332070	ENST00000370803
PHLPP1	ENST00000262719	ENST00000262719		ENST00000262719
PHLPP2	ENST00000568954	ENST00000568954		ENST00000568954
PHOX2B	ENST00000226382	ENST00000226382	ENST00000226382	ENST00000226382
PIGA	ENST00000333590	ENST00000333590		ENST00000333590
PIK3C2B	ENST00000684373	ENST00000367187		
PIK3C2G	ENST00000538779	ENST00000433979	ENST00000433979	ENST00000538779
PIK3C3	ENST00000262039	ENST00000262039	ENST00000262039	ENST00000262039
PIK3CA	ENST00000263967	ENST00000263967	ENST00000263967	ENST00000263967
PIK3CB	ENST00000674063	ENST00000289153	ENST00000674063	ENST00000674063
PIK3CD	ENST00000377346	ENST00000377346	ENST00000377346	ENST00000377346
PIK3CG	ENST00000496166	ENST00000359195	ENST00000359195	ENST00000496166
PIK3R1	ENST00000521381	ENST00000521381	ENST00000521381	ENST00000521381
PIK3R2	ENST00000222254	ENST00000222254	ENST00000222254	ENST00000222254
PIK3R3	ENST00000262741	ENST00000262741	ENST00000262741	ENST00000262741
PIM1	ENST00000373509	ENST00000373509	ENST00000373509	ENST00000373509
PLCG1	ENST00000685551	ENST00000373271		
PLCG2	ENST00000564138	ENST00000564138	ENST00000564138	ENST00000564138
PLK2	ENST00000274289	ENST00000274289	ENST00000274289	ENST00000274289
